soil_type,pH,nitrogen,phosphorus,potassium,organic_carbon,ec,rainfall,temperature,plant
Loamy,6.86,250,26,65,0.59,1.32,3054.91,27.64,Banyan
Alluvial,7.33,138,13,301,0.77,3.37,2348.61,28.46,Banyan
Alluvial,7.5,487,37,173,0.45,0.68,1603.05,24.47,Banyan
Alluvial,7.74,405,55,349,1.03,0.72,1881.68,31.51,Banyan
Alluvial,7.17,607,21,329,1.11,2.23,2213.24,25.3,Banyan
Alluvial,7.28,300,5,133,0.43,3.19,2394.82,30.22,Banyan
Alluvial,7.19,336,11,234,0.99,1.99,2115.05,28.6,Banyan
Alluvial,7.69,636,58,188,0.81,1.31,1689.34,29.48,Banyan
Alluvial,7.48,408,14,399,0.5,1.19,3531.21,21.77,Banyan
Alluvial,7.25,616,40,187,0.79,2.57,1755.31,27.45,Banyan
Alluvial,7.22,422,7,232,0.45,0.92,2715.11,20.25,Banyan
Loamy,7.54,237,46,128,1.16,0.14,2497.11,24.16,Banyan
Loamy,7.31,528,36,260,0.33,1.8,2115.75,27.93,Banyan
Alluvial,7.79,350,23,227,0.95,1.89,1157.58,27.39,Banyan
Loamy,6.85,416,28,359,1.08,1.81,1897.05,28.12,Banyan
Loamy,7.46,671,7,228,0.47,1.85,1819.78,27.51,Banyan
Alluvial,6.9,477,16,213,0.7,0.26,2391.06,19.25,Banyan
Loamy,6.66,699,59,370,1.04,1.28,1832.44,23.19,Banyan
Alluvial,7.26,653,37,101,1.11,1.28,2382.13,27.47,Banyan
Loamy,6.71,179,22,83,1.12,1.88,2132.61,21.0,Banyan
Alluvial,6.92,422,33,180,0.81,3.22,1949.24,22.02,Banyan
Loamy,6.97,232,45,209,0.89,0.34,2875.52,20.03,Banyan
Loamy,7.35,149,51,359,0.46,2.85,2549.14,22.42,Banyan
Alluvial,6.98,200,59,79,1.06,0.23,2406.54,21.86,Banyan
Loamy,7.08,686,44,86,0.76,3.2,3198.22,28.12,Banyan
Alluvial,8.03,143,20,367,1.03,3.43,2572.74,26.95,Banyan
Alluvial,7.54,283,22,317,1.01,3.22,305.42,37.76,Banyan
Loamy,7.42,509,25,381,1.05,2.81,2315.29,20.17,Banyan
Alluvial,7.25,334,19,206,1.03,0.31,1148.78,17.7,Banyan
Alluvial,7.68,579,29,126,1.11,2.47,2750.2,27.09,Banyan
Loamy,6.99,416,30,84,0.35,3.43,2945.84,16.98,Banyan
Alluvial,6.97,359,59,344,1.06,0.4,2219.79,23.94,Banyan
Alluvial,7.27,295,29,335,0.55,3.4,2113.47,19.45,Peepal
Loamy,8.18,122,17,300,0.84,1.56,1117.68,21.09,Peepal
Alluvial,6.79,532,29,374,0.6,0.37,1955.11,22.01,Peepal
Loamy,6.53,561,12,163,0.41,0.6,1724.53,25.37,Peepal
Alluvial,7.27,231,26,245,0.69,0.9,1730.96,23.53,Peepal
Loamy,7.5,669,30,50,1.14,2.08,2339.6,32.87,Peepal
Loamy,6.95,681,55,215,0.7,0.83,2749.86,26.42,Peepal
Loamy,7.74,645,52,209,0.99,0.51,2381.49,25.88,Peepal
Loamy,7.64,286,10,111,0.54,1.05,1708.88,26.23,Peepal
Loamy,7.71,496,8,84,0.69,0.87,2124.82,20.43,Peepal
Alluvial,7.37,411,20,231,0.69,1.78,2504.0,24.51,Peepal
Alluvial,7.44,185,16,348,1.02,2.64,2069.65,22.07,Peepal
Loamy,7.29,139,55,298,0.83,2.99,2410.95,33.7,Peepal
Alluvial,7.5,192,11,63,0.64,2.28,2579.41,14.16,Peepal
Loamy,7.3,568,15,265,0.32,3.09,2053.17,31.88,Peepal
Alluvial,6.99,282,21,188,0.36,1.65,1767.93,16.14,Peepal
Loamy,6.95,193,48,388,0.59,2.0,1390.63,19.24,Peepal
Alluvial,7.43,502,9,302,0.66,2.93,2225.06,30.93,Peepal
Loamy,7.48,220,53,94,0.41,0.35,1571.25,26.63,Peepal
Loamy,7.05,503,24,318,0.9,2.21,1983.21,27.49,Peepal
Loamy,7.61,593,34,332,0.39,0.73,2108.21,24.47,Peepal
Alluvial,7.07,632,53,62,0.93,0.37,1298.91,25.76,Peepal
Alluvial,7.54,652,60,244,0.71,0.97,1559.31,32.12,Peepal
Alluvial,7.0,649,10,104,0.87,3.49,2187.61,20.69,Peepal
Alluvial,7.19,459,14,233,1.18,1.34,1422.35,25.17,Peepal
Alluvial,7.32,423,51,172,0.49,2.1,1119.78,35.54,Peepal
Loamy,6.82,533,49,117,0.7,1.21,1660.18,29.56,Peepal
Loamy,7.44,506,37,74,0.54,1.47,2367.98,19.78,Peepal
Alluvial,8.04,100,14,91,0.33,1.3,1350.53,31.32,Peepal
Loamy,7.88,453,14,198,0.77,0.18,2166.9,19.08,Peepal
Alluvial,7.08,146,5,174,0.77,1.42,1510.18,27.9,Peepal
Alluvial,6.79,473,23,204,0.47,2.6,1545.13,29.19,Peepal
Loamy,7.76,568,25,299,0.75,0.36,2496.55,22.93,Peepal
Loamy,7.44,325,10,381,0.83,0.61,1425.26,23.27,Peepal
Alluvial,7.67,131,15,74,0.3,1.3,1649.46,27.67,Peepal
Alluvial,7.29,145,35,294,0.45,0.8,1267.07,30.43,Peepal
Loamy,7.46,478,53,148,0.32,1.54,1971.09,23.71,Peepal
Loamy,7.48,607,13,295,1.04,3.26,1613.42,27.9,Peepal
Loamy,6.77,583,36,382,0.52,1.49,1733.49,26.25,Peepal
Alluvial,6.93,696,26,246,0.93,1.6,1605.77,29.78,Peepal
Loamy,7.53,238,36,142,0.94,0.75,2114.62,27.63,Peepal
Loamy,7.04,633,27,189,1.2,3.2,2233.25,26.94,Peepal
Alluvial,7.43,278,33,56,1.15,0.66,1722.4,27.63,Peepal
Alluvial,6.9,359,22,265,0.85,0.4,2031.38,27.27,Peepal
Alluvial,7.25,284,12,272,0.52,2.79,1648.53,25.94,Peepal
Alluvial,7.04,394,19,203,0.69,1.87,915.32,29.51,Peepal
Alluvial,7.77,426,41,340,0.91,2.28,1836.42,23.28,Peepal
Alluvial,8.26,208,17,119,0.87,2.95,1334.97,29.45,Peepal
Loamy,7.13,180,33,110,0.5,0.18,1795.31,25.19,Peepal
Alluvial,7.89,606,16,122,1.07,1.84,1457.09,21.4,Peepal
Alluvial,7.05,626,38,189,1.08,0.33,1736.59,19.63,Peepal
Alluvial,7.22,637,48,209,1.2,1.65,1355.66,24.79,Peepal
Alluvial,7.23,170,50,228,0.37,3.23,1833.19,22.82,Peepal
Alluvial,7.93,154,24,261,0.49,2.34,2245.78,28.67,Peepal
Loamy,7.08,128,50,101,0.85,2.19,1031.63,20.53,Peepal
Loamy,7.18,212,9,182,0.55,2.98,1739.27,25.77,Peepal
Alluvial,7.2,366,28,140,0.89,0.9,2326.79,23.39,Peepal
Loamy,7.38,420,36,301,0.57,2.95,1696.63,20.9,Peepal
Alluvial,7.05,401,54,345,0.8,2.68,2191.53,17.01,Peepal
Loamy,6.77,519,30,86,1.06,3.17,1880.79,24.92,Peepal
Alluvial,7.47,401,12,388,1.1,2.24,2116.65,31.1,Peepal
Alluvial,7.2,275,59,84,1.19,1.86,2054.12,23.11,Peepal
Loamy,6.92,123,18,250,1.13,2.56,1195.41,20.92,Peepal
Loamy,7.49,530,19,292,0.83,1.49,1817.45,22.74,Peepal
Alluvial,7.15,386,44,101,0.68,0.75,2614.1,28.42,Peepal
Loamy,6.9,675,35,234,1.1,2.41,2032.74,16.76,Peepal
Loamy,6.66,173,46,262,0.95,0.33,1912.0,24.54,Peepal
Alluvial,7.6,234,51,304,1.15,2.38,1574.47,19.94,Peepal
Alluvial,7.54,672,31,389,0.68,1.33,1653.71,28.67,Peepal
Alluvial,7.56,467,33,332,0.33,1.54,1796.15,26.8,Peepal
Alluvial,7.35,635,16,166,0.55,2.78,1209.61,19.47,Peepal
Loamy,7.84,612,58,226,0.32,0.4,2438.13,27.06,Peepal
Loamy,6.17,298,28,322,0.89,0.59,2211.49,20.52,Peepal
Alluvial,7.51,225,38,263,0.75,3.32,1276.09,20.65,Peepal
Alluvial,6.99,190,21,257,0.76,0.94,1881.55,27.15,Peepal
Loamy,6.62,587,45,376,0.78,2.11,1633.5,17.6,Peepal
Alluvial,7.05,160,25,237,0.32,1.97,2055.05,20.25,Peepal
Alluvial,6.69,313,46,253,1.13,3.26,1704.51,31.31,Peepal
Loamy,7.0,494,33,393,1.04,1.97,2017.11,26.78,Peepal
Loamy,7.54,185,13,188,0.48,0.5,1417.75,27.11,Peepal
Alluvial,7.94,572,59,399,1.16,3.49,2171.71,30.65,Peepal
Alluvial,7.3,273,12,323,0.97,3.29,1517.23,20.86,Peepal
Loamy,7.04,229,29,154,0.7,0.2,2028.51,31.39,Peepal
Loamy,6.99,477,19,262,0.84,1.49,1855.4,30.76,Peepal
Loamy,6.9,476,48,267,0.87,2.77,1947.88,17.57,Peepal
Loamy,7.28,355,46,168,0.86,3.13,1561.52,19.56,Peepal
Loamy,7.32,328,41,108,0.56,2.52,1813.65,36.54,Peepal
Alluvial,6.82,652,56,289,0.95,0.98,1497.6,24.95,Peepal
Loamy,7.81,610,47,204,0.82,2.18,1512.14,28.83,Peepal
Loamy,7.35,478,50,335,1.16,0.22,1074.44,19.32,Peepal
Loamy,7.21,534,20,194,0.54,0.8,1353.45,24.78,Peepal
Loamy,8.17,183,48,306,0.46,2.4,1393.58,23.07,Peepal
Loamy,7.45,278,17,305,1.02,1.21,2094.58,31.29,Peepal
Loamy,6.54,471,16,389,1.19,3.48,2353.18,14.47,Peepal
Loamy,7.21,534,36,359,0.37,1.16,2336.91,27.26,Peepal
Loamy,7.47,425,23,146,0.55,3.35,2137.91,26.46,Peepal
Loamy,7.18,620,22,323,0.96,1.89,1816.13,33.68,Peepal
Loamy,7.4,580,57,324,0.74,3.02,1727.64,20.12,Peepal
Alluvial,7.31,164,21,273,1.12,3.42,1625.3,32.17,Peepal
Loamy,8.12,581,55,152,1.19,0.46,1745.3,23.48,Peepal
Loamy,7.38,112,48,107,0.6,3.49,1201.83,29.7,Peepal
Loamy,7.58,632,9,274,0.37,0.67,2252.05,25.44,Peepal
Loamy,6.94,324,23,246,0.68,3.2,1961.35,23.74,Peepal
Alluvial,6.62,283,40,108,0.53,2.05,1170.55,33.5,Peepal
Alluvial,7.23,212,53,137,1.12,2.52,1647.91,24.67,Peepal
Alluvial,7.11,109,22,323,0.8,1.92,1814.54,26.61,Peepal
Loamy,6.97,151,35,56,1.13,1.23,1970.08,23.33,Peepal
Alluvial,7.03,229,22,58,0.95,1.54,1867.2,28.54,Peepal
Alluvial,6.56,685,20,233,0.78,1.2,1209.27,25.13,Peepal
Loamy,7.32,523,57,332,0.86,3.18,1989.31,27.45,Peepal
Alluvial,7.19,464,33,399,0.33,0.98,1877.53,19.86,Peepal
Loamy,7.41,170,35,369,0.98,3.03,1724.9,25.92,Peepal
Loamy,7.82,607,44,51,0.43,2.62,973.72,16.32,Peepal
Alluvial,7.58,102,10,223,0.76,3.0,1828.77,22.82,Peepal
Loamy,7.17,395,52,137,0.84,1.14,2520.02,24.14,Peepal
Alluvial,6.89,286,49,307,1.05,1.12,1665.06,25.44,Peepal
Loamy,6.77,317,27,223,0.47,0.34,2436.07,27.82,Peepal
Loamy,7.55,637,18,388,1.09,2.05,1709.28,15.22,Peepal
Loamy,7.08,434,54,267,0.64,0.15,1822.37,25.75,Peepal
Loamy,6.9,618,48,99,0.95,0.1,1666.02,25.74,Peepal
Alluvial,6.91,670,14,157,0.54,0.78,1557.52,19.45,Peepal
Loamy,6.8,238,13,331,1.12,2.21,1868.22,19.72,Peepal
Loamy,7.21,632,18,253,0.5,2.05,1399.01,31.32,Peepal
Alluvial,7.4,119,59,220,1.16,2.44,1389.21,24.54,Peepal
Alluvial,7.05,108,35,180,1.19,0.23,2127.11,30.24,Peepal
Alluvial,6.71,497,14,339,0.7,1.7,2152.98,22.33,Peepal
Loamy,7.77,176,39,271,0.87,2.81,1965.77,18.9,Peepal
Alluvial,7.46,163,35,219,0.88,3.19,1638.73,21.39,Peepal
Loamy,7.23,387,47,173,0.33,0.74,3167.2,20.54,Peepal
Loamy,6.39,156,15,173,0.34,1.43,1557.8,14.8,Peepal
Loamy,7.32,203,12,178,0.73,0.48,1706.3,23.85,Peepal
Alluvial,7.62,432,24,103,0.83,1.53,2159.31,23.35,Peepal
Loamy,7.19,545,48,274,1.05,1.39,2159.63,31.51,Peepal
Alluvial,6.46,252,36,202,0.51,0.73,2393.98,30.08,Peepal
Alluvial,7.28,623,50,71,0.62,2.05,1784.31,27.87,Peepal
Alluvial,6.58,689,9,115,0.38,2.47,1325.67,26.14,Peepal
Loamy,7.4,631,12,201,0.97,1.62,1767.76,21.13,Peepal
Loamy,7.24,359,15,279,0.51,1.87,1298.61,26.23,Peepal
Loamy,6.66,249,43,357,0.33,3.02,1619.66,22.16,Peepal
Loamy,7.22,465,31,203,0.35,0.21,1608.3,28.85,Peepal
Alluvial,7.46,142,24,276,1.16,2.72,1386.72,34.7,Peepal
Alluvial,6.7,294,7,189,1.04,2.9,1676.6,23.26,Peepal
Loamy,7.1,406,26,385,0.49,1.25,1534.31,30.1,Peepal
Loamy,7.3,305,21,181,0.82,1.08,1803.01,15.27,Peepal
Loamy,7.11,213,15,86,0.95,1.31,1677.2,16.37,Peepal
Loamy,6.7,242,52,218,0.95,2.49,2290.05,25.67,Peepal
Alluvial,7.67,122,9,203,0.53,2.51,1280.54,26.34,Peepal
Alluvial,6.34,119,17,324,0.59,2.85,1890.95,31.41,Peepal
Alluvial,6.96,458,49,301,0.74,2.81,2415.96,33.4,Peepal
Loamy,7.9,501,8,345,0.53,2.87,1756.61,29.23,Peepal
Loamy,6.9,660,41,299,0.4,1.12,1802.16,29.93,Peepal
Loamy,6.74,136,18,337,0.83,0.66,2283.66,18.6,Peepal
Alluvial,7.18,490,36,280,0.38,3.35,2311.65,25.27,Peepal
Loamy,7.47,629,19,256,0.75,0.72,2475.5,27.65,Peepal
Alluvial,7.54,587,9,76,0.84,2.59,2314.31,33.13,Peepal
Alluvial,7.54,402,36,69,0.43,2.26,1433.65,20.67,Peepal
Loamy,7.25,336,52,261,0.73,0.42,2538.39,27.99,Peepal
Alluvial,7.05,289,16,220,0.42,0.91,1350.89,24.9,Peepal
Loamy,7.14,467,19,190,0.47,1.63,1631.21,15.18,Peepal
Alluvial,7.36,629,27,234,0.39,3.05,1656.46,20.13,Peepal
Alluvial,6.52,160,37,323,0.76,1.16,2064.25,24.82,Peepal
Alluvial,7.72,363,46,241,0.85,2.82,671.89,15.12,Peepal
Loamy,7.3,145,31,115,0.62,2.29,2025.56,19.69,Peepal
Alluvial,7.75,288,50,265,0.45,1.8,2016.32,9.9,Peepal
Loamy,6.61,344,7,355,0.66,2.1,2079.46,31.46,Peepal
Loamy,7.53,417,31,238,0.73,0.14,1798.71,25.1,Peepal
Alluvial,7.31,543,23,328,0.33,1.32,784.76,25.06,Peepal
Alluvial,6.86,236,46,170,1.17,3.16,2044.16,21.07,Peepal
Loamy,7.19,695,58,307,1.15,3.33,1337.82,16.6,Peepal
Alluvial,6.98,548,59,397,0.88,3.16,2216.8,19.22,Peepal
Loamy,7.87,548,52,151,0.57,0.79,1377.89,20.63,Peepal
Alluvial,7.79,404,38,124,0.32,0.53,1587.67,20.76,Peepal
Alluvial,7.37,468,38,307,0.73,1.24,1429.97,35.95,Peepal
Alluvial,7.26,624,31,357,0.73,3.48,1721.98,28.26,Peepal
Loamy,7.85,507,43,301,0.41,2.38,1731.17,20.07,Peepal
Loamy,7.19,223,17,304,0.96,2.31,955.5,18.7,Peepal
Loamy,7.58,609,17,393,0.72,1.32,1687.4,24.36,Peepal
Alluvial,7.6,433,46,180,0.85,2.12,1728.66,21.1,Peepal
Loamy,7.22,602,43,211,0.94,0.48,2029.33,28.19,Peepal
Alluvial,7.4,443,20,195,0.42,0.42,1207.7,27.78,Peepal
Alluvial,6.47,563,49,306,0.71,1.75,1477.04,25.37,Peepal
Loamy,7.39,552,5,138,0.87,3.42,1458.26,25.43,Peepal
Loamy,7.07,567,13,298,1.04,3.38,1675.24,29.99,Peepal
Loamy,7.8,376,46,359,0.69,0.14,2275.93,22.23,Peepal
Loamy,7.19,599,8,111,1.09,2.29,1497.57,29.64,Peepal
Alluvial,8.05,472,8,243,0.98,1.73,2591.92,24.2,Peepal
Loamy,7.97,549,24,328,1.12,2.82,1881.92,15.24,Peepal
Loamy,6.24,370,35,380,0.85,0.98,1560.89,26.12,Peepal
Loamy,7.79,690,18,394,0.4,1.65,1301.12,21.32,Peepal
Loamy,7.17,108,22,104,0.41,1.88,1726.5,16.24,Peepal
Loamy,7.0,514,31,240,1.17,1.76,1624.6,17.99,Peepal
Alluvial,6.8,498,6,290,0.95,1.84,1879.66,27.05,Peepal
Alluvial,7.43,448,29,386,0.86,0.14,1807.87,25.75,Peepal
Loamy,6.74,686,58,277,0.81,2.02,2686.17,17.92,Peepal
Alluvial,7.05,479,33,105,0.51,1.67,2160.85,29.4,Peepal
Alluvial,7.19,292,45,364,1.13,3.37,1947.44,32.15,Peepal
Loamy,6.85,268,58,117,0.64,1.23,2320.76,25.02,Peepal
Alluvial,7.25,288,27,66,0.47,1.51,2387.12,29.46,Peepal
Alluvial,7.55,462,27,99,1.2,0.33,1648.77,21.13,Peepal
Alluvial,7.23,163,14,358,0.66,1.82,2020.66,18.91,Peepal
Loamy,6.94,344,24,153,0.7,2.28,1390.42,27.43,Peepal
Loamy,7.31,313,10,129,0.32,1.04,1853.62,36.43,Peepal
Alluvial,7.17,413,5,289,1.04,0.19,2366.08,34.42,Peepal
Alluvial,6.93,259,35,269,0.58,1.6,1503.12,24.36,Peepal
Alluvial,7.08,423,26,80,1.07,2.29,1908.44,24.42,Peepal
Alluvial,6.9,499,26,296,0.41,1.34,2199.86,27.04,Peepal
Alluvial,7.12,209,26,397,0.61,0.57,1596.62,18.65,Peepal
Alluvial,6.61,602,57,278,0.62,1.3,1537.54,23.12,Peepal
Loamy,6.96,697,7,229,0.54,1.04,1856.39,21.06,Peepal
Alluvial,7.66,377,51,186,0.75,0.13,1968.94,19.78,Peepal
Loamy,7.66,383,30,194,0.44,0.64,1488.29,23.79,Peepal
Alluvial,7.49,433,33,63,1.08,0.49,1661.92,22.47,Peepal
Alluvial,7.86,136,56,209,0.39,1.0,1635.64,33.47,Peepal
Loamy,6.92,192,16,321,0.73,1.6,1753.0,30.92,Peepal
Loamy,7.31,420,33,101,0.4,0.31,1664.96,23.84,Peepal
Alluvial,7.97,141,47,197,0.44,1.37,1081.13,17.4,Peepal
Loamy,7.44,454,37,240,0.32,0.76,2465.05,21.95,Peepal
Alluvial,7.79,388,46,264,0.68,3.36,1593.78,17.32,Peepal
Loamy,7.26,289,42,152,0.35,0.31,1659.98,27.97,Peepal
Alluvial,7.16,485,39,117,0.86,0.93,1823.43,32.72,Peepal
Loamy,7.13,312,33,103,0.74,1.85,2665.47,29.46,Peepal
Loamy,7.09,451,6,384,0.65,0.99,1286.38,23.68,Peepal
Alluvial,6.78,215,59,311,0.68,1.91,1979.33,24.72,Peepal
Loamy,6.96,276,38,368,0.92,0.37,1742.34,25.65,Peepal
Loamy,6.96,602,44,166,1.16,1.03,2135.89,16.26,Peepal
Alluvial,6.92,667,15,224,1.13,2.05,1834.5,20.47,Peepal
Loamy,7.22,193,8,128,0.67,3.38,2012.13,28.18,Peepal
Loamy,6.47,246,26,222,0.95,1.51,1271.47,17.4,Peepal
Loamy,7.28,476,44,281,0.53,1.63,1688.27,20.12,Peepal
Loamy,7.1,119,41,75,0.86,2.96,1215.16,23.47,Peepal
Loamy,7.05,593,34,149,0.47,1.37,2066.15,38.96,Peepal
Loamy,6.92,268,9,346,1.12,2.64,1444.22,17.02,Peepal
Loamy,7.72,459,22,174,0.6,0.25,2143.39,21.33,Peepal
Loamy,7.41,614,18,108,0.69,0.35,2005.82,22.47,Peepal
Loamy,6.39,369,39,108,0.94,2.2,2076.5,18.31,Peepal
Alluvial,7.63,472,53,211,0.53,1.81,2442.54,33.68,Peepal
Loamy,7.84,126,15,183,1.13,3.01,1878.12,25.04,Peepal
Alluvial,7.86,486,26,375,1.06,0.92,945.05,33.63,Peepal
Alluvial,6.81,174,57,281,0.95,3.08,2165.6,18.56,Peepal
Loamy,7.79,444,7,336,0.72,0.58,2565.28,17.64,Peepal
Alluvial,6.65,464,54,388,1.15,0.71,1498.4,26.07,Peepal
Alluvial,7.2,134,33,174,0.86,0.33,1996.29,25.41,Peepal
Loamy,7.61,211,51,216,0.68,2.48,2191.88,27.3,Peepal
Loamy,7.21,148,44,393,0.31,1.1,1957.7,24.23,Peepal
Alluvial,7.83,532,26,360,1.07,2.98,2376.32,12.51,Peepal
Alluvial,7.22,240,40,182,0.35,2.32,2516.75,25.28,Peepal
Loamy,7.86,441,60,90,0.54,1.22,2560.05,29.1,Peepal
Loamy,6.9,502,48,141,0.51,0.57,2204.65,31.38,Peepal
Loamy,6.64,360,47,177,0.37,2.12,2156.33,26.05,Peepal
Loamy,7.51,651,15,325,1.02,1.39,1785.99,23.38,Peepal
Alluvial,7.41,125,55,260,0.78,0.26,1096.25,28.3,Peepal
Alluvial,7.31,603,49,175,0.77,1.89,2208.9,26.76,Peepal
Loamy,6.89,305,33,338,0.99,1.75,2135.16,23.41,Peepal
Loamy,7.3,389,43,369,0.77,3.09,1684.29,29.64,Peepal
Alluvial,7.0,446,37,289,1.13,1.17,1672.01,23.16,Peepal
Loamy,6.96,458,25,222,1.12,0.5,1663.77,19.77,Peepal
Alluvial,7.07,507,10,152,0.4,2.19,1600.72,29.54,Peepal
Loamy,7.04,248,8,131,0.64,2.81,2589.52,26.36,Peepal
Loamy,8.21,345,16,268,0.93,0.24,1418.92,22.43,Peepal
Alluvial,7.34,561,24,357,0.64,0.15,1917.91,16.84,Peepal
Loamy,7.88,160,50,245,1.18,3.13,2499.84,21.98,Peepal
Alluvial,6.75,622,22,186,0.47,1.12,2261.73,23.04,Peepal
Loamy,7.32,626,46,267,0.63,3.32,2062.35,23.77,Peepal
Alluvial,7.13,306,42,387,0.35,1.19,1646.36,27.4,Peepal
Alluvial,7.24,162,45,139,0.33,2.46,2550.2,25.65,Peepal
Loamy,6.76,257,42,128,0.43,0.19,1658.53,22.19,Peepal
Loamy,7.04,491,39,154,0.77,2.39,1562.67,23.91,Peepal
Loamy,6.82,501,50,50,1.13,1.24,1457.35,30.65,Peepal
Alluvial,6.94,125,40,240,0.96,3.07,2401.49,28.68,Peepal
Alluvial,7.32,126,18,292,0.33,3.01,1435.38,23.08,Peepal
Alluvial,7.47,479,10,218,0.76,2.54,1081.42,19.02,Peepal
Loamy,7.01,136,59,173,0.84,1.26,1764.06,26.4,Peepal
Alluvial,7.33,323,17,180,0.53,0.58,1892.25,26.18,Peepal
Loamy,7.8,299,12,180,0.33,0.14,1726.59,31.83,Peepal
Alluvial,7.38,344,18,123,1.18,2.3,2197.48,22.9,Peepal
Alluvial,7.93,193,38,156,1.13,1.01,1855.36,19.26,Peepal
Alluvial,7.18,577,45,287,0.9,1.76,2392.19,19.28,Peepal
Alluvial,7.13,357,23,119,0.32,0.5,1590.7,29.48,Peepal
Loamy,7.22,674,24,396,0.91,0.38,1597.38,21.58,Peepal
Alluvial,7.18,251,11,64,0.57,2.48,1743.86,26.51,Peepal
Alluvial,7.32,298,27,199,0.37,3.28,1778.01,26.42,Peepal
Alluvial,7.46,664,18,213,0.39,0.5,2337.03,22.23,Peepal
Loamy,6.28,255,19,359,0.31,1.17,1583.72,27.09,Peepal
Alluvial,7.12,542,11,200,0.71,3.28,1779.9,20.01,Peepal
Alluvial,7.63,219,43,145,1.05,1.06,1560.22,19.07,Peepal
Alluvial,6.57,474,42,122,0.9,2.67,1820.85,31.84,Peepal
Loamy,7.1,237,40,257,0.66,3.03,2006.34,20.3,Peepal
Alluvial,7.5,151,58,172,0.72,2.16,2304.6,13.3,Peepal
Alluvial,7.26,433,58,83,1.14,2.36,2957.59,21.29,Peepal
Alluvial,6.94,346,55,150,0.38,3.36,1939.68,16.75,Peepal
Loamy,6.9,523,12,62,0.51,2.61,1579.07,20.14,Peepal
Loamy,7.17,537,41,198,0.96,2.7,2052.83,30.57,Peepal
Loamy,7.48,244,32,72,0.81,3.09,1936.56,27.16,Peepal
Alluvial,6.55,591,50,370,0.68,1.97,1632.4,26.77,Peepal
Alluvial,7.02,700,42,238,0.98,3.21,2359.65,29.31,Peepal
Alluvial,6.74,329,52,154,1.1,0.43,1659.22,27.25,Peepal
Loamy,6.85,317,6,114,1.08,2.92,2131.74,30.31,Peepal
Alluvial,7.47,495,31,370,0.59,1.32,1076.89,15.79,Peepal
Alluvial,7.5,195,39,319,0.59,1.4,1645.47,23.96,Peepal
Loamy,7.16,300,43,91,0.78,1.77,1701.97,31.28,Peepal
Loamy,7.35,278,56,300,1.16,1.26,1804.37,35.33,Peepal
Loamy,7.37,406,58,235,0.81,1.15,1637.06,26.5,Peepal
Loamy,7.34,429,17,225,0.93,0.47,1309.2,28.55,Peepal
Loamy,7.06,308,37,211,0.85,1.0,1118.46,30.36,Peepal
Loamy,7.04,516,11,227,0.65,1.16,2118.88,18.33,Peepal
Alluvial,7.58,255,40,238,0.93,2.78,2336.92,21.95,Peepal
Alluvial,7.43,353,24,314,0.46,2.26,1786.44,27.67,Peepal
Loamy,7.33,632,16,116,1.18,2.82,1619.34,26.09,Peepal
Alluvial,7.58,609,6,390,0.46,1.04,2041.75,25.64,Peepal
Loamy,7.72,568,18,106,1.04,1.15,2360.04,25.83,Peepal
Alluvial,7.64,629,38,315,0.82,1.96,1672.51,24.02,Peepal
Loamy,6.99,546,47,275,0.52,2.68,1917.78,31.62,Peepal
Alluvial,7.9,383,52,110,0.47,3.42,1445.78,24.73,Peepal
Alluvial,7.15,669,9,391,0.64,1.49,1468.47,31.42,Peepal
Alluvial,6.74,660,58,316,1.01,0.98,901.55,40.69,Peepal
Alluvial,7.24,259,35,246,0.47,1.93,1704.63,24.1,Peepal
Loamy,7.65,549,22,257,0.42,3.2,1614.72,25.45,Peepal
Alluvial,7.6,133,27,326,1.07,2.04,3015.73,27.0,Peepal
Alluvial,6.78,602,58,375,0.76,1.83,1631.41,17.27,Peepal
Loamy,7.04,575,23,354,0.91,1.5,1893.82,30.62,Peepal
Alluvial,6.93,647,23,83,0.97,1.7,1571.15,18.56,Peepal
Alluvial,7.12,149,33,383,0.96,1.93,1544.02,23.93,Peepal
Alluvial,7.24,397,54,184,0.5,2.27,1338.45,18.72,Peepal
Loamy,7.87,108,40,102,0.73,1.24,1613.0,27.23,Peepal
Loamy,7.78,575,48,98,0.43,1.37,2315.78,20.8,Peepal
Loamy,7.36,639,34,87,1.14,3.08,2236.12,21.58,Peepal
Alluvial,8.11,633,22,118,0.84,0.1,1976.05,28.2,Peepal
Alluvial,7.41,621,42,388,0.82,1.15,2652.32,28.05,Peepal
Loamy,6.86,133,50,381,1.14,3.01,2169.26,13.12,Peepal
Loamy,6.86,389,36,233,0.38,2.93,1627.44,26.61,Peepal
Loamy,5.81,501,32,217,0.38,2.26,1516.76,30.09,Peepal
Alluvial,7.51,420,46,114,0.33,3.38,2181.59,18.97,Peepal
Loamy,6.73,635,47,379,0.71,1.15,1509.85,19.32,Peepal
Loamy,8.41,207,46,253,0.54,0.22,2308.07,15.3,Peepal
Loamy,7.16,453,15,71,0.62,1.24,1877.6,17.74,Peepal
Alluvial,7.14,607,22,327,0.36,2.21,2140.18,31.86,Peepal
Loamy,7.19,209,10,155,0.64,3.21,1760.34,27.02,Peepal
Alluvial,7.25,604,20,400,1.19,0.37,1730.76,31.08,Peepal
Loamy,7.22,593,43,276,1.12,2.88,1868.43,31.25,Peepal
Loamy,7.85,505,50,122,1.18,0.29,1568.22,16.52,Peepal
